date,date,prcp
2010-06-01,2010-06-01,0.0
2010-06-02,2010-06-02,0.01
2010-06-03,2010-06-03,0.0
2010-06-04,2010-06-04,0.0
2010-06-05,2010-06-05,0.0
2010-06-06,2010-06-06,0.0
2010-06-07,2010-06-07,0.0
2010-06-08,2010-06-08,0.0
2010-06-09,2010-06-09,0.0
2010-06-10,2010-06-10,0.0
2010-06-11,2010-06-11,0.0
2010-06-12,2010-06-12,0.0
2010-06-13,2010-06-13,0.0
2010-06-14,2010-06-14,0.0
2010-06-15,2010-06-15,0.0
2010-06-16,2010-06-16,0.0
2010-06-17,2010-06-17,0.0
2010-06-18,2010-06-18,0.0
2010-06-19,2010-06-19,0.0
2010-06-20,2010-06-20,0.0
2010-06-21,2010-06-21,0.0
2010-06-22,2010-06-22,0.0
2010-06-23,2010-06-23,0.0
2010-06-24,2010-06-24,0.0
2010-06-25,2010-06-25,0.0
2010-06-26,2010-06-26,0.02
2010-06-27,2010-06-27,0.0
2010-06-28,2010-06-28,0.0
2010-06-29,2010-06-29,0.0
2010-06-30,2010-06-30,0.0
2011-06-01,2011-06-01,0.07
2011-06-02,2011-06-02,0.0
2011-06-03,2011-06-03,0.56
2011-06-04,2011-06-04,0.89
2011-06-05,2011-06-05,0.0
2011-06-06,2011-06-06,0.0
2011-06-07,2011-06-07,0.0
2011-06-08,2011-06-08,0.03
2011-06-09,2011-06-09,0.01
2011-06-10,2011-06-10,0.0
2011-06-11,2011-06-11,0.0
2011-06-12,2011-06-12,0.0
2011-06-13,2011-06-13,0.0
2011-06-14,2011-06-14,0.0
2011-06-15,2011-06-15,0.0
2011-06-17,2011-06-17,0.0
2011-06-18,2011-06-18,0.0
2011-06-19,2011-06-19,0.05
2011-06-20,2011-06-20,0.06
2011-06-21,2011-06-21,0.07
2011-06-24,2011-06-24,
2011-06-25,2011-06-25,0.0
2011-06-26,2011-06-26,0.0
2011-06-27,2011-06-27,0.01
2011-06-28,2011-06-28,0.01
2011-06-29,2011-06-29,0.0
2012-06-01,2012-06-01,0.02
2012-06-02,2012-06-02,0.02
2012-06-03,2012-06-03,0.0
2012-06-04,2012-06-04,0.0
2012-06-05,2012-06-05,0.0
2012-06-06,2012-06-06,0.0
2012-06-07,2012-06-07,0.0
2012-06-08,2012-06-08,
2012-06-09,2012-06-09,
2012-06-10,2012-06-10,0.0
2012-06-11,2012-06-11,0.0
2012-06-12,2012-06-12,0.0
2012-06-13,2012-06-13,0.0
2012-06-14,2012-06-14,0.0
2012-06-15,2012-06-15,0.0
2012-06-16,2012-06-16,0.0
2012-06-17,2012-06-17,0.0
2012-06-18,2012-06-18,0.0
2012-06-19,2012-06-19,0.0
2012-06-20,2012-06-20,0.0
2012-06-21,2012-06-21,0.0
2012-06-22,2012-06-22,0.0
2012-06-23,2012-06-23,0.0
2012-06-24,2012-06-24,0.0
2012-06-25,2012-06-25,0.03
2012-06-26,2012-06-26,0.15
2012-06-27,2012-06-27,0.01
2012-06-28,2012-06-28,0.0
2012-06-29,2012-06-29,0.05
2012-06-30,2012-06-30,0.0
2013-06-01,2013-06-01,0.01
2013-06-02,2013-06-02,0.0
2013-06-03,2013-06-03,0.0
2013-06-04,2013-06-04,0.0
2013-06-05,2013-06-05,0.0
2013-06-06,2013-06-06,0.0
2013-06-07,2013-06-07,0.0
2013-06-08,2013-06-08,0.0
2013-06-09,2013-06-09,0.0
2013-06-10,2013-06-10,0.0
2013-06-11,2013-06-11,0.0
2013-06-12,2013-06-12,0.0
2013-06-13,2013-06-13,0.0
2013-06-14,2013-06-14,0.37
2013-06-15,2013-06-15,0.0
2013-06-16,2013-06-16,0.0
2013-06-17,2013-06-17,0.0
2013-06-18,2013-06-18,0.01
2013-06-19,2013-06-19,0.0
2013-06-20,2013-06-20,0.04
2013-06-21,2013-06-21,0.12
2013-06-22,2013-06-22,0.04
2013-06-23,2013-06-23,0.02
2013-06-24,2013-06-24,0.35
2013-06-25,2013-06-25,0.03
2013-06-26,2013-06-26,0.01
2013-06-27,2013-06-27,0.0
2013-06-28,2013-06-28,0.0
2013-06-29,2013-06-29,0.03
2013-06-30,2013-06-30,0.01
2014-06-01,2014-06-01,0.0
2014-06-02,2014-06-02,0.66
2014-06-03,2014-06-03,0.01
